code,brands,product_name,pnns_groups_2,energy-kj_100g,sugars_100g,saturated-fat_100g,salt_100g,proteins_100g,fiber_100g,fruit_vege_nut_100g,nutriscore_grade,fit_nutri_grade,opt_el_tri_50_grade,pes_el_tri_50_grade
3222473161942,"Casino Délices, Casino, Délices",Les délicieux sablés aux pommes,Biscuits and cakes,2081.0,32.0,15.0,0.4,5.2,2.4,5.0,e,e,d,e
3760370200130,Papa Chiche,Chips BIO à base de pois chiche - Paprika - 110g,Appetizers,1811.0,2.5,1.6,0.73,13.5,5.5,9.088125,a,a,b,c
4260249144408,"Erdbär, Erdbär, Freche Freunde, Erdbär","Fruchtriegel Birne, pflaume & brombeere",Biscuits and cakes,1539.0,26.0,1.1,0.04,6.6,6.9,8.33333333333333,b,b,c,d
8412170005983,Santiveri,Galletas Digestive Sésamo 0% azúcares,Biscuits and cakes,1764.0,0.5,1.9,0.1,8.6,8.0,0.0,a,a,b,c
20063399,Snack Day,Tortilla Chips Nature,Appetizers,1979.0,0.8,2.0,0.9,6.6,4.0,0.0,b,b,d,d
7617400034998,Créa d'Or,Vanille-Kipferl Nr. 6,Biscuits and cakes,2238.0,23.0,10.0,0.16,5.0,2.8,24.8333333333333,d,d,d,d
35342710034,Bella Sun Luci,"Bella sun luci, premium california sun dried tomatoes halves",Vegetables,136.0,28.57,0.0,0.625,14.29,7.1,0.0,a,b,b,b
3596710061723,"Pouce,Auchan",Barres céréalières Goût Chocolat - banane,Biscuits and cakes,1710.0,30.0,5.4,0.28,5.8,3.4,6.0,d,d,d,d
3256223664087,U,Feuilletés apéritif,Appetizers,1122.0,2.2,8.8,0.91,6.3,1.3,26.9,d,d,d,d
8410740006965,lacasa,Lacasitos Chocolate con Leche,Sweets,2033.0,69.0,12.0,0.18,6.0,1.6,0.0,e,e,e,e
3596710333011,"MMM!,Auchan, Auchan Gourmet, Terroir",15 Broyés du Poitou,Biscuits and cakes,2168.0,26.0,18.0,0.63,6.0,0.5,0.0,e,e,d,e
3564700463772,"Tablette d'Or,Marque Repère",Chocolat noir corsé pâtissier,Chocolate products,2351.0,37.0,25.0,0.0,7.0,9.0,0.0,e,d,d,d
3596710387533,"Rik & Rok,Auchan",Barquettes Abricot,Biscuits and cakes,1468.0,58.0,0.6,0.1,4.0,1.7,27.0,d,d,d,e
87311495,Frisk,Mints peppermint,Sweets,993.0,0.0,0.3,0.0,0.0,0.3,0.0,b,c,e,e
8431876209747,"Carrefour,Aperitivos Tapa",Torreznos,Meat,2644.0,0.0,15.9,3.0,46.3,0.0,0.0,e,e,e,e
3222473469260,"Casino Bio, Casino",Carottes râpées bio,Vegetables,369.0,3.6,0.9,0.6,0.7,2.0,85.3225053894797,a,a,b,b
8006940004797,Caputo,LiberIGPistacchi tostati senza sale aggiunto,Nuts,2543.0,4.5,5.6,0.0,18.1,10.6,100.0,a,a,a,a
8431876293326,Carrefour,Cocktail edamame y soja,Appetizers,1768.0,3.0,1.8,1.6,39.0,20.5,0.0,a,b,a,b
8901719125478,Parle,Parle-G,Biscuits and cakes,1901.0,25.5,6.0,0.74,6.9,0.0,0.0,d,e,d,d
8431876063134,De nuestra tierra,Polvorones de Estepa,Biscuits and cakes,2144.0,30.0,9.0,0.1,7.9,0.8,12.1,e,e,d,d
7841503000738,Mazzei,Crackers,Biscuits and cakes,1651.0,7.0,1.0,1.9175,10.0,3.5,0.0,c,c,c,d
7622210638762,"Marabou,Mondelez","Marabou Bär, granola & yoghurt",Chocolate products,2226.0,57.0,18.0,0.34,4.7,2.3,0.03,e,e,e,e
4751036540355,the beginnings,flap jack chocolate bar,Biscuits and cakes,2014.0,22.0,22.0,0.4,7.0,7.0,0.0,d,d,c,d
3168930007500,Lay's,Dégustation Sel de mer d'Anglesey,Appetizers,1980.0,0.5,1.7,1.2,6.8,5.0,5.5,c,b,c,c
4260618523186,FRECHE FREUNDE,Roter Beerenmix Fruchtchips,unknown,1187.0,42.0,0.2,0.0,6.2,19.0,100.0,a,a,a,a
3373030000188,Les galettes de Belle Isle en Terre,Veritable Kouign Amann Breton,Biscuits and cakes,2065.0,27.0,20.0,0.68,3.9,1.0,0.0,e,e,d,e
3387390325768,"NESTLÉ, CHOCAPIC",CHOCAPIC barres de céréales,Biscuits and cakes,423.0,5.6,1.5,0.1,1.9,1.5,0.0,b,c,e,e
8000300375855,"Nestle,Motta",La Cremeria,Ice cream,847.0,22.0,4.7,0.1,2.3,0.2,0.0,c,e,e,e
3281780886450,Martinet,PORTION 2CAROTTE/2COLESLAW,One-dish meals,435.0,5.75,0.5,0.93,1.05,2.6,173.171875,a,a,b,c
5000159403436,Mars,Mars,Biscuits and cakes,1885.0,61.7,8.3,0.425,4.0,0.0,0.0,e,e,d,e
3370390001008,Saint Amour®,Gâteau au fromage blanc,Dairy desserts,700.0,21.3,1.6,0.11,6.9,0.0,60.15625,b,a,c,c
7622210157201,Marabou,Tack,Chocolate products,2440.0,52.0,23.0,0.34,4.2,1.2,0.0,e,e,e,e
3560071231095,"Carrefour,Carrefour Bio",Cookies Maxi pépites chocolat,Biscuits and cakes,2136.0,32.0,11.0,0.75,6.6,5.1,0.0,e,e,d,d
5053990161249,Pringles,Smokey paprika and almonds,Appetizers,2160.0,3.6,2.7,1.3,4.5,3.1,0.439453125,c,c,d,d
3184830027295,"Saxo, Carrefour",Pistaches grillées salées,Nuts,2470.0,5.9,6.0,0.88,26.0,6.5,100.0,b,a,b,b
